-philia	['-philie']
empty set	['leere Menge']
applaud	['klatschen', 'loben', 'applaudieren', 'Beifall klatschen', 'befürworten']
ninety-three	['dreiundneunzig']
enchondroma	['Enchondrom']
talented	['talentiert', 'begabt']
hindbrain	['Rautenhirn']
apadravya	['Apadravya']
crybaby	['Heulmeier', 'Heulliese', 'Memme', 'Heulsuse', 'Schreibaby', 'Heulpeter', 'Schreikind']
distinction	['Unterschied', 'Auszeichnung']
optimism	['Zuversicht', 'Optimismus']
tomahawk	['Tomahawk']
arenarious	['']
coaster	['', 'Untersetzer', 'Bierdeckel']
apron	['Vorfeld', 'Fußsack', 'Schürze']
woodpecker	['Specht']
day care center	['Ganztagskindergarten', 'Kindertagesstätte', 'Tagesstätte']
floury	['mehlig']
reserved word	['reserviertes Wort']
plexiglass	['Plexiglas', 'Acrylglas']
innumerable	['']
tetralogy	['Tetralogie']
baby oil	['Babyöl']
ornament	['Verzierung', 'musikalische Verzierung']
parody	['Parodie', 'parodieren']
Frankfurt-am-Main	['Frankfurt a/M', 'Frankfurt am Main']
gourd	['Kalebasse']
paronym	['Paronymon', 'Paronymum', 'stammverwandtes Wort', 'Paronym']
aldern	['erlen']
describe	['beschreiben']
camshaft	['Nockenwelle']
hetty	['Hete', 'Hetero', 'hetero']
confession	['Eingeständnis', 'Bekenntnis', 'Beichte', 'Geständnis']
palm tree	['Palme']
pilfer	['stehlen', 'klauen']
make head or tail of	['sich einen Reim darauf machen']
shears	['Schere']
chickpea	['Kichererbse']
pinworm	['Madenwurm']
Mount McKinley	['']
cremation	['Einäscherung', 'Feuerbestattung', 'Leichenverbrennung', 'Kremierung', 'Kremation']
Jesus	['Jesus']
ineptitude	['Unfähigkeit  ; Untauglichkeit']
oligotrophic	['oligotroph']
stunt double	['Bremsung Doppeltes']
ribwort	['Spitzwegerich']
ordered pair	['geordnetes Paar']
claim	['Behauptung', 'Anspruch', 'beanspruchen', 'behaupten', 'Mutung']
bagpiper	['Dudelsackpfeiferin', 'Dudelsackpfeifer', 'Dudelsackspielerin', 'Dudelsackspieler']
earthenware	['Töpferwaren']
vertically	['senkrecht', 'vertikal']
insignificant	['unbedeutend', 'bedeutungslos']
substantivise	['substantivieren']
alienation	['Entfremdung']
Lake Michigan	['Michigansee', 'Michigan-See']
russet	['Renette', 'rostbraun']
travelling salesman problem	['Problem des Handlungsreisenden']
juggler	['Jongleur']
Mòcheno	['Fersentalerisch']
browser	['']
US dollar	['US-Dollar']
slabstone	['']
Saratov	['Saratow']
Szczedrzyk	['Hitlersee', 'Sczedrzik']
metre	['Meter']
rutile	['Rutil']
ground spider	['Plattbauchspinne']
Petrarchism	['Petrarkismus']
Prohibition	['Prohibition', 'Alkoholprohibition']
blown	['aufgebläht']
Chernobyl	['Tschernobyl', 'Tschornobyl']
xoanon	['Xoanon']
curriculum vitae	['Lebenslauf']
kick oneself	['sich in den Hintern beißen']
mingle	['vermengen', 'vermischen', 'untermischen']
hydrologist	['Hydrologe', 'Hydrologin']
postdoctoral	['Postdoc-']
signal indication	['Signalbegriff']
he who laughs last laughs hardest	['']
beggars can't be choosers	['in der Not frisst der Teufel Fliegen', 'in der Not schmeckt jedes Brot']
parka	['Anorak', 'Parka']
Pressburg	['']
tyrant	['Tyrann', 'Tyrannin']
miss out	['auslassen', 'verpassen', 'verfehlen']
absence	['Fehlen', 'Absenz', 'Abwesenheit']
ask	['stellen', 'fragen', 'bitten']
terrycloth	['']
provincial	['provinziell', 'provinzial']
usher in	['einleiten', 'ankündigen']
bias	['Bias', 'Vorspannung', 'Voreingenommenheit']
stretch	['langziehen', 'strecken', 'Übertreibung', 'recken', 'straffen', 'ausnutzen', 'stretchen', 'Untertreibung', 'ausleiern', 'sich strecken', 'ausdehnen', 'reichen', 'ziehen', 'sich dehnen', 'beanspruchen', 'Abschnitt', 'Dehnung', 'Stück', 'Strecke', 'verlängern', 'Elastizität', 'Dehnbarkeit', 'Langer', 'Strecken', 'erweitern', 'spannen', 'überziehen', 'dehnen', 'Dehnen']
schooner	['Schoner']
kernel	['Kern', 'Betriebssystemkern']
capitalistically	['kapitalistisch']
bring about	['bewerkstelligen', 'zustande bringen', 'bedingen', 'bewirken']
Colchis	['Kolchis']
leek moth	['Lauchmotte']
capable	['fähig']
toy poodle	['Toypudel']
relish	['Eigenart', 'Qualität', 'Geschmack', 'mit Freude tun', 'Gefallen finden an', 'mit Wollust tun', 'Aroma', 'begeistert sein', 'schmecken', 'aromatisieren', 'genießen', 'Interesse', 'Charakteristik', 'Zuneigung', 'Genuß', 'Neigung', 'mit Genuß tun', 'Besonderheit', 'sich schmecken lassen', 'reizvoll finden', 'mit Begeisterung tun', 'Vorliebe', 'genußvoll tun']
hydride	['Hydrid']
stylish	['elegant', 'stylisch', 'stilvoll']
arterial	['arteriell']
voluble	['redselig', 'gesprächig']
if the mountain won't come to Muhammad	['muss der Prophet wohl zum Berge kommen', 'wenn der Berg nicht zum Propheten kommt']
cascade	['herabstürzen', 'Wasserfall', 'hintereinanderschalten', 'Kaskade']
pinstripe	['Nadelstreifenanzug', 'Nadelstreifenstoff', 'Nadelstreifengewebe', 'Nadelstreifen']
syntax highlighting	['Syntaxhervorhebung', 'Sytax-Highlighting']
paradigm	['Beispiel', 'Musterbeispiel', 'Paradigma']
theocracy	['Theokratie']
Septuagint	['Septuaginta']
tenor	['Tenor']
social science	['Sozialwissenschaft']
mile	['', 'Meile']
convenience store	['Convenience Shop', 'Nachbarschaftsladen', 'Spätverkauf', 'Späti', 'Spätkauf']
ice-skate	['eislaufen', 'Eis laufen']
foosball	['Kicker', 'Tischfußball', 'Wuzzler', 'Krökeln']
diction	['Diktion']
duodecillion	['Duodezillion', 'Sextilliarde']
blonde	['']
parry	['abwehren', 'parieren']
epopee	['Epopöe']
hats off	['Hut ab']
apple strudel	['Apfelstrudel']
whale	['Wal']
Rube Goldberg machine	['Rube-Goldberg-Maschine']
epizeuxis	['Epizeuxis']
reoffender	['']
echo	['Echo', 'Bildschirmecho', 'widerhallen', 'hallen', 'Widerhall', 'Emil', 'Tastaturecho', 'zurückwerfen', 'wiederholen']
acrimonious	['erbittert', 'bissig']
waxwork	['Wachsfigur']
paradisaic	['paradiesisch']
roll out	['ausliefern']
resound	['tönen', 'erschallen', 'erklingen']
in advance	['']
sieve of Eratosthenes	['Sieb des Eratosthenes']
dresser	['Kommode']
emancipation	['Freilassung', 'Emanzipation']
arachnophobia	['Spinnenangst', 'Arachnophobie']
wet season	['']
tangled nest spider	['Finsterspinne']
aldebaranium	['Aldebaranium']
install	['installieren']
formula	['Formel']
Gobi	['Gobi']
lade	['beladen']
hazing	['Deposition']
cytosine	['Cytosin']
toluene	['Toluol']
redbush	['']
rucksack	['']
stabling	['Stallung']
empty space	['']
flatcar	['Plattformwagen', 'Flachwagen']
nitrox	['Nitrox']
urea	['Harnstoff']
annealing	['Glühen']
point guard	['Point Guard']
coil	['Rolle', 'Windung', 'Wickel', 'Spule', 'Spirale']
cherub	['Kerub', 'Cherub']
perfect number	['vollkommene Zahl', 'ideale Zahl', 'perfekte Zahl']
sing	['singen']
urceolate	['krugförmig']
platonic love	['platonische Liebe']
plenary	['Plenar-']
underpay	['unterbezahlen']
diademed sifaka	['Diademsifaka']
ex nunc	['ex nunc']
Smith	['Schmied', 'Schmidt', 'Müller']
Zanclean	['Zancleum']
preferable	['bevorzugt']
heteroclitic	['heteroklitisch']
instructor	['Ausbilder', 'Dozent', 'Lehrer']
Asturia	['Asturien']
exemption	['Befreiung', 'Freisein', 'Freistellung', 'Freibetrag']
ratification	['Bestätigung', 'Ratifikation', 'Ratifizierung']
southerner	['Südländer', 'Bewohnerin des Südens', 'Südländerin', 'Bewohner des Südens']
numerical	['zahlenmäßig', 'in Zahlen ausgedrückt', 'nummerisch', 'numerisch']
membrane	['Membran', 'Häutchen', 'Membrane']
denote	['symbolisieren', 'offenlegen', 'formalisieren', 'markieren', 'anzeigen', 'offenbaren', 'aufdecken', 'bezeichnen', 'bedeuten', 'preisgeben', 'kennzeichnen']
baroscope	['']
aerostatic	['']
keep an eye on	['im Auge behalten', 'aufpassen']
primrose	['Primel']
stoning	['']
distort	['verzerren']
feline	['']
decilitre	['Deziliter']
e-commerce	['elektronischer Handel', 'Internethandel', 'Online-Handel']
pissed off	['angepisst', 'sickig']
excess	['Selbstbeteiligung', 'Franchise', 'Eigenbeteiligung', 'Kostenbeteiligung', 'Übermaß', 'Überschuss', 'Zuzahlung']
have a bone to pick	['ein Hühnchen zu rupfen haben']
self-respect	['Selbstachtung']
rekindle	['wiederentfachen']
ink bottle	['']
unbeliever	['']
ash bread	['Aschenbrot']
bowfin	['Schlammfisch', 'Kahlhecht']
left-luggage office	['Gepäckaufbewahrung']
barn swallow	['Rauchschwalbe']
dominatrix	['Domina']
work hardening	['Kaltumformung']
wood strawberry	['']
ish	['ungefähr']
malware	['Schadsoftware']
sort of	['irgendwie']
endemic	['endemisch', 'Endemit']
admirable	['bewundernswert']
geyser	['Geysir']
minor planet	['Kleinplanet']
Christmas card	['Weihnachtskarte']
swimming trunks	['Schwimmhose', 'Badehose']
hosanna	['hosanna', 'hosianna']
beetroot	['Rote Bete', 'Rande', 'Rote Beete']
unfair	['unfair']
Abu Simbel	['Abu Simbel']
drugstore	['']
Neptune	['Neptun']
fishing pole	['Angelrute']
doula	['Doula']
Jahannam	['Dschahannam']
anther	['Staubbeutel']
power struggle	['Machtkampf']
dark-haired	['dunkelhaarig']
cash flow	['Kassenbestand', 'Cashflow', 'Geldfluss']
Republic of Turkey	['Republik Türkei']
joyful	['erfreulich', 'erfreut', 'freudig']
Haggai	['Haggai']
carbine	['Karabiner']
hysterectomy	['Hysterektomie']
white-flippered penguin	['Weißflügelpinguin']
degree Fahrenheit	['Grad Fahrenheit']
provocative	['provokant']
abrasion platform	['Abrasionsplatte', 'Abrasionsplattform']
new potato	['Frühlingskartoffel']
whisker	['Barthaar', 'Vibrisse', 'Barthaare', 'Schnurrhaar', 'Haaresbreite', 'Whisker']
nitro-hydrochloric acid	['']
mottled	['gesprenkelt', 'gefleckt']
scandium	['Scandium', 'Skandium']
skyclad	['']
Franciscan	['franziskanisch', 'Franziskaner']
protuberant	['protuberant']
ink eraser	['Tintenkiller']
double-click	['Doppelklick', 'doppelklicken']
carp	['Karpfen']
Snow White	['Schneewittchen', 'Schneeweißchen']
catharsis	['Katharsis']
nihilism	['Nihilismus']
stir-fry	['Pfannenrühren', 'pfannenrühren']
Schaffhausen	['Kanton Schaffhausen', 'Schaffhausen']
pigling	['']
tome	['Wälzer', 'Band', 'Schinken']
PS	['NS']
Eurogroup	['Euro-Gruppe']
machine gun	['Maschinengewehr', 'MG']
backstage	['Backstage', 'hinter den Kulissen', 'backstage']
athetosis	['Athetose']
quintillion	['Quinquillion', 'Quintillion', 'Trillion']
slingshot	['Steinschleuder', 'Zwille', 'Schleuder']
grippe	['']
scripture	['Schrift']
Scheldt	['Schelde']
datum	['Fakt']
Mohican	['']
supervillain	['Superschurke', 'Schurke']
twitch	['', 'Zucken', 'verkrampfen', 'Zuckung']
spying	['']
Greek fire	['griechisches Feuer']
Pucikwar	['']
Baden	['Baden']
variable	['', 'Variable', 'Platzhalter', 'variabel', 'Variablensymbol', 'Symbol', 'Parameter']
serigraphy	['']
contrivance	['Kunstgriff', 'Planung', 'List', 'Findigkeit', 'Vorrichtung', 'Behelf', 'Plan', 'Maschinerie', 'Apparat', 'Kniff', 'Erfindung']
Sahrawi	['der Westsahara', 'Sahraoui', 'Saharawi']
wine list	['Weinkarte']
zucchini	['']
cornetto	['']
tarot	['Tarotkarte', 'Tarot']
K'iche'	['Quiché']
brotherhood-in-arms	['Waffenbrüderschaft']
un-	['un-']
kefir	['Kefir']
perceive	['wahrnehmen']
projectile vomit	['strahlkotzen']
Luxembourgian	['']
cloth	['Stoff', 'Tuch']
Marshallese	['Marshallisch']
acid rain	['saurer Regen']
boxer engine	['Boxermotor']
this one	['dieser', 'der']
unrestrained	['unbeherrscht', 'ungehemmt']
conference	['Konferenz']
when it rains, it pours	['']
wild-goose chase	['fruchtloses Unterfangen', 'ein sinnloses Unterfangen']
windscreen wiper	['']
strawberry tree	['westlicher Erdbeerbaum', 'amerikanischer Erdbeerbaum', 'Erdbeerbaum']
unhinge	['aus den Angeln heben']
disregard	['', 'Zurücksetzung', 'missachten', 'Nichtbeachtung', 'Gleichgültigkeit', 'Missachtung', 'Nichtbeachten']
sheepskin	['Schafspelz', 'Schafsleder', 'Schaffell', 'Schafsfell', 'Schafpelz', 'Schafleder']
tram stop	['Straßenbahnhaltestelle']
acronym	['Akronym']
-cratic	['-kratisch']
cojones	['Eier', 'Mumm', 'Mut']
tachometer	['', 'Drehzahlmesser']
Sprachgefühl	['Sprachgefühl']
other than	['abgesehen']
apathy	['Apathie']
Naples	['Neapel']
indecision	['Unschlüssigkeit', 'Unentschlossenheit']
Lesser Poland	['Kleinpolen']
tinsmith	['Blechschmied', 'Spengler', 'Blechschmiedin', 'Spenglerin']
hornet	['Hornisse']
edify	['erbauen', 'edifizieren', 'bestärken']
oxidization	['']
visit	['', 'Besuch', 'besuchen']
Croatian Sheepdog	['Kroatischer Schäferhund']
ejection seat	['Schleudersitz']
plantigrade	['Sohlengänger', 'Fersengänger']
maxillary sinus	['Kieferhöhle']
reproductive	['Fortpflanzungs-', 'reproduktiv']
saw	['Spruch', '', 'Sprichwort', 'Säge', 'sägen']
patrol boat	['Patrouillenboot']
bilge	['Bilgewasser', 'Bilge']
Coulomb's law	['Coulombsches Gesetz']
pyre	['Scheiterhaufen']
beg	['anflehen', 'betteln', 'bitten']
annual report	['Jahresbericht']
bullseye	['Bullauge', 'Mitte', 'Volltreffer']
housekeeping	['Haushaltung']
thankless	['undankbar']
slip	['', 'ausrutschen', 'Fehler machen', 'Stück Papier', 'irren', 'reichen', 'Ausrutscher', 'Unterkleid', 'sich irren']
superhabitable planet	['superhabitabler Planet']
propriety	['Wahrhaftigkeit', 'Tugendhaftigkeit', 'Schicklichkeit']
allusion	['Allusion', 'Anspielung']
cogwheel	['']
Entrange	['Entringen']
vitreous humor	['']
New Zealander	['Neuseeländerin', 'Neuseeländer']
culverin	['Feldschlange', 'Kolubrine']
parallelogram	['Parallelogramm']
papaya	['Papaya']
Scorpius	['', 'Skorpion']
as per usual	['']
Usenet	['Usenet']
spy on	['ausspionieren']
anthropoid	['menschenähnlich']
work placement	['']
bedouin	['Beduine', 'Beduinin']
haunted	['besessen', 'verfolgt']
ghetto	['Ghetto', 'Getto', 'gettoisieren']
sable	['Schwarz', 'Zobel', 'schwarz']
nationalistic	['']
prudishness	['Prüderie']
how do you say...in English	['wie sagt man ... auf Englisch?']
clap	['Tripper', 'Schlag', 'zusammenbasteln', 'Klatschen', 'Knall', 'knallen', 'klatschen', 'improvisieren', 'applaudieren']
bellflower	['Glockenblume']
RNA	['RNS']
gasconade	['Gascognade']
drag queen	['Drag Queen']
spinach	['Spinat']
Ventspils	['Windau', 'Ventspils']
fable	['fabulieren', 'Fabel']
Wenceslas	['']
petabyte	['Petabyte']
finish line	['Ziellinie']
prototyping	['Musterentwicklung', 'Prototyping', 'Prototypenentwicklung']
approve	['gutheißen', 'bewilligen']
East Slavic	['ostslawisch']
Olenekian	['Olenekium']
lucky charm	['Glücksbringer']
advertise	['ankündigen', 'anbieten', 'annoncieren', 'inserieren', 'anpreisen', 'werben']
bite off more than one can chew	['sich übernehmen']
violently	['gewalttätig']
mustard	['Senf', 'senffarben']
circumciser	['Beschneider', 'Beschneiderin']
intercession	['Fürbitte']
peace treaty	['Frieden', 'Friedensvertrag']
House of Representatives	['Repräsentantenhaus']
chump	['Trottel', 'Dummkopf']
heterochromia	['Iris-Heterochromie']
soldiery	['Präsensdienst', 'Soldatinnen', 'Wehrdienst', 'Heeresdienst', 'Kriegsdienst', 'Soldaten']
master race	['Herrenrasse', 'Herrenvolk']
adversity	['Widrigkeit', 'Ungemach']
Alex	['']
Jura	['Département Jura', 'Jura', 'Kanton Jura']
scissor	['Schere']
intake manifold	['Ansaugstutzen', 'Ansaugkrümmer']
line number	['Zeilennummer']
on the verge	['kurz davor']
immoralism	['Immoralismus']
alum	['Alaun']
bauxite	['Bauxit']
voting station	['']
real part	['Realteil']
yaffle	['']
out	['heraus', 'aus', 'outen', 'hinaus', 'draußen', 'usually expressed by the prefix aus-']
stealthy	['verstohlen', 'geheim', 'heimlich']
rocking horse	['Hutschpferd', 'Schaukelpferd']
linseed	['Leinsamen']
hydrogenous	['wasserstoffhaltig']
ridiculous	['lächerlich']
suggestive	['suggestiv']
Iran	['Iran']
meringue	['Baiser', 'Meringue']
Wenceslaus	['Wenzel']
partiture	['']
calendula	['Calendula']
spreadsheet	['Tabellenkalkulation', 'Kalkulationstabelle']
Romance	['romanisch']
videotape	['Videoband']
dynamic typing	['dynamische Typisierung']
hermaphroditism	['Zwittrigkeit', 'Hermaphrodismus', 'Zwittertum', 'Zweigeschlechtlichkeit', 'Hermaphroditismus']
voting booth	['Wahlkabine']
Ajax	['Ajax', 'Aias']
inform	['', 'mitteilen', 'denunzieren', 'informieren']
Cepheus	['Kepheus']
Unicode	['Unicode']
Pikachu	['Pikachu']
awl	['Ahle']
grit	['Grieß', 'Hafergraupen', 'Schrot', 'Mut', 'Ballaststoff', 'Streugut', 'knarren', 'knirschen', 'Split', 'Streu', 'Schneid', 'Körnung', 'Schotter', 'Streumittel', 'Korn']
Republic of Macedonia	['Republik Mazedonien']
charbonnier	['Rußkopf', 'Schwarzfaseriger Ritterling']
translationary	['übersetzungstechnisch', 'translatorisch']
suds	['Schaum', 'Seifenlauge']
fender-bender	['Blechschaden']
lunch	['lunchen', 'soupieren', 'Lunch', 'zu Mittag essen', 'Mittagessen']
means to an end	['Mittel zum Zweck']
wiry	['drahtig']
Shiite	['', 'schiitisch']
Hindu Kush	['Hindukusch']
teal	['Kriekente', 'Krickente', 'petrolblau']
ununquadium	['Ununquadium']
crosshairs	['Fadenkreuz']
god game	['Göttersimulation']
solitaire	['', 'Solitär']
waiting room	['Warteraum', 'Wartezimmer']
-proof	['-fest', '-sicher']
portable executable	['Portable Executable']
self control	['Selbstkontrolle']
casualty	['Kalamität', 'Verletzter', 'Unfallopfer', 'Ausfall', 'Unglücksfall', 'Verlust', 'Opfer', 'Todesfall', 'Verwundeter', 'Unglück', 'Todesopfer', 'Verunglückter', 'Toter', 'Unfall', 'Desaster', 'Gefallener']
all that glitters is not gold	['was glänzt', 'es ist nicht alles Gold']
Greco-Roman	['griechisch-römisch']
omnium-gatherum	['']
beryl	['Beryll']
castigation	['Züchtigung']
you-know-who	['du-weißt-schon-wer']
electric circuit	['Stromkreis']
lamination	['Laminierung', 'Laminat']
week	['Woche']
ranula	['Froschgeschwulst']
asset	['Anlage', 'Vermögenswert', 'Aktiva']
etymology	['Etymologie', 'Wortherkunft']
Mandarin	['Hochchinesisch', 'Mandarin']
Colossians	['Kolosser']
Orphean	['orpheisch']
largescale archerfish	['Gefleckter Schützenfisch']
smug	['dünkelhaft', 'überheblich', 'eingebildet', 'selbstzufrieden', 'selbstgefällig', 'blasiert', 'süffisant', 'arrogant']
black-throated diver	['Prachttaucher']
cater-corner	['schräg gegenüber']
constrict	['verengen', 'einengen']
living street	['Wohnstraße', 'Verkehrsberuhigter Bereich', 'Spielstraße', 'Begegnungszone']
shell shock	['Kriegszitterer']
mediocre	['Mittelmäßige', 'mittelmäßig']
diptote	['Diptoton']
Red Baron	['Rote Baron']
yataghan	['Jatagan', 'Yatagan']
fur seal	['Seebär']
wolfling	['']
irrigation	['Irrigation', 'Bewässerung']
laryngology	['Laryngologie']
tribulation	['Trübsal']
turf accountant	['']
session	['Sitzung']
angle of incidence	['Einfallswinkel']
inalienable	['unabdingbar']
major scale	['Dur']
New Mexico	['Neumexiko', 'New Mexico']
milkman	['Milchmann']
chemical equation	['Reaktionsgleichung']
Khmer Rouge	['Rote Khmer']
Bernard	['Bernhard']
wave-particle duality	['Welle-Teilchen-Dualismus']
normal	['Normale', 'normal']
invoke	['aufrufen', 'anrufen']
Kraut	['']
eagerly	['eifrig']
Elamite	['Elamiterin', 'Elamiter']
double Dutch	['Kauderwelsch']
my pleasure	['bitte', 'gern geschehen', 'keine Ursache', 'mit Vergnügen', 'nichts zu danken']
mineralogical	['mineralogisch']
shorthand typist	['Stenotypistin', 'Stenotypist']
from now on	['ab jetzt', 'von jetzt an']
windshield	['Windschutzscheibe']
